latitude,longitude,label,info
46.955736250000001,-84.05105125,8,8
40.321056249999998,-74.351358999999988,40,40
41.615442800000004,-72.93537640000001,25,25
36.824074705882353,-81.156051764705893,17,17
76.333783333333329,-50.332140000000003,3,3
46.008235384615396,-65.893400769230766,13,13
51.867487499999996,-56.628152499999999,4,4
32.335370909090905,-81.692086818181821,22,22
44.376834285714288,-80.129268571428582,7,7
39.177550862068962,-76.991705172413788,58,58
41.296771111111106,-83.534938888888888,27,27
42.256489310344826,-70.862845517241382,29,29
35.871830606060605,-77.321673333333337,33,33
43.680008571428566,-75.877596428571422,14,14
40.762971999999998,-80.954569500000005,20,20
