latitude,longitude,label,info
51.846402631578961,-1.332658157894737,38,38
68.974999999999994,-20.625,2,2
79.344079999999991,17.554124999999999,2,2
44.396326999999999,19.686027000000003,10,10
36.857869000000001,-5.2646640000000007,10,10
35.675453333333337,9.9372966666666667,3,3
48.361621249999992,14.699849166666668,24,24
45.547208947368425,7.6030926315789484,19,19
60.752057499999999,24.512415000000001,8,8
55.27560230769231,-6.5417415384615385,13,13
41.846589999999999,13.411155882352944,17,17
55.645896111111114,11.656335000000002,18,18
42.773559999999996,0.90616857142857143,14,14
50.207029130434783,4.6728300000000003,23,23
