latitude,longitude,label,info
58.431327999999993,-155.29524799999999,5,5
56.045000000000002,-174.27097000000001,2,2
65.608921249999995,-149.48040125,8,8
49.408915,-126.07957500000001,2,2
56.30106,-133.52712571428569,7,7
67.517915000000002,-164.27638999999999,2,2
47.930120000000002,-120.77954,2,2
65.672460000000001,-142.83578666666668,3,3
53.88604666666668,-114.66153333333334,6,6
45.682767142857145,-123.36124142857143,7,7
57.012139999999995,-123.93529666666666,3,3
47.483700999999996,-122.43074300000001,10,10
49.565955000000002,-122.80449666666668,6,6
