latitude,longitude,label,info
-21.900057499999999,-42.916634999999999,4,4
-63.200000000000003,-59.183335,2,2
-14.80654,-64.432613333333336,3,3
-26.681695999999999,-50.588650000000001,5,5
-31.894739999999999,-63.206029999999998,4,4
-35.32743142857143,-70.148058571428578,7,7
-34.220354,-58.056309999999996,5,5
-56.84826833333333,-39.409898333333331,6,6
-23.200344999999999,-58.562305000000002,4,4
-16.5819525,-56.215615,4,4
-64.242499999999993,-66.737499999999997,4,4
-71.244443333333336,-110.06666666666666,3,3
-49.680652500000008,-68.00453250000001,4,4
