latitude,longitude,label,info
43.443091428571414,-93.586319642857163,28,28
41.33600545454545,-98.639101363636343,22,22
67.35096999999999,-93.450234999999992,2,2
33.062582962962956,-98.123592592592573,27,27
28.723518148148159,-97.319997407407385,27,27
37.36806923076923,-90.043130000000005,26,26
30.581399999999995,-89.62739049999999,20,20
48.665705000000003,-99.398753571428557,14,14
44.493022777777782,-89.097720555555568,18,18
32.615890357142852,-85.017579285714291,28,28
41.141411428571423,-88.344087499999986,28,28
20.041385333333334,-99.321562,15,15
36.062603750000008,-86.347413749999987,24,24
37.982385000000001,-94.783454499999976,20,20
34.307292105263151,-92.604268421052637,19,19
