latitude,longitude,label,info
36.025484444444452,-107.05350444444447,9,9
34.065729166666664,-111.85083166666668,12,12
40.350907142857139,-105.6183257142857,14,14
46.458036666666672,-117.03092111111111,9,9
39.494261428571427,-123.14467857142857,7,7
47.894917,-111.88896600000001,10,10
37.696725185185194,-121.54937037037035,27,27
27.202382,-108.539052,5,5
34.777631999999997,-119.81871799999999,5,5
33.965543999999994,-118.04485266666669,30,30
50.847756249999996,-105.28055624999999,8,8
33.359661538461538,-116.46943076923078,13,13
43.252553333333339,-122.29835833333335,12,12
31.909265000000005,-106.62545099999997,10,10
40.047117,-112.79579900000002,20,20
