latitude,longitude,label,info
17.594304193548385,-76.750011048387108,124,124
31.434000533333347,35.938291733333322,77,77
-38.501077413793105,-58.853831896551725,57,57
37.464815898876417,-114.72876146067416,191,191
9.1463441666666672,-6.6093047222222214,37,37
40.448989028213198,-76.388346771159902,320,320
53.95486135135134,-129.27912729729732,65,65
-44.471178888888886,171.06894666666665,18,18
-29.635614090909101,35.152500909090904,44,44
28.507487142857141,76.726399795918397,48,48
-29.216808481012663,140.5770955696203,79,79
21.240742121212119,122.97468404040399,99,99
49.067597128712869,6.3689094554455439,201,201
36.672395700934587,-92.661126479750877,318,318
7.9840446666666667,-164.85507933333332,13,13
