latitude,longitude,label,info
39.715299999999999,-78.051727499999998,4,4
38.827287499999997,-77.13156124999999,8,8
38.868703333333336,-78.922200000000004,3,3
38.670946666666673,-75.577333333333328,3,3
38.548250000000003,-76.799840000000003,3,3
39.347472222222216,-76.766101111111112,9,9
41.200620000000001,-77.673185000000004,2,2
38.902180000000001,-76.926141999999984,10,10
39.778747500000001,-76.063132499999995,4,4
39.099986666666666,-76.453313333333341,3,3
40.401973333333338,-77.080470000000005,3,3
39.101386666666663,-77.175333333333342,3,3
